episode_name,positive_prob,negative_prob,sentiment
MMs02e12,0.15630680322647095,0.911579430103302,Negative
MMs02e12,0.09737958759069443,0.877771258354187,Negative
MMs02e12,0.16878287494182587,0.9416656494140625,Negative
MMs02e12,0.0012040598085150123,0.4977976679801941,Negative
MMs02e12,0.08818434178829193,0.9816638231277466,Negative
MMs02e12,0.4926518201828003,0.7126243710517883,Negative
MMs02e12,0.008623436093330383,0.9555625915527344,Negative
MMs02e12,0.003231060691177845,0.9942699670791626,Negative
MMs02e12,0.9988996982574463,0.0013651216868311167,Positive
MMs02e12,0.004173469264060259,0.8997382521629333,Negative
MMs02e12,0.02698812633752823,0.9925723671913147,Negative
MMs02e12,0.32045021653175354,0.5336270332336426,Negative
MMs02e12,0.08077221363782883,0.9638247489929199,Negative
MMs02e12,0.008857052773237228,0.9883948564529419,Negative
MMs02e12,0.0036354062613099813,0.9739109873771667,Negative
MMs02e12,0.002431742148473859,0.9979992508888245,Negative
MMs02e12,0.9992899894714355,0.0031631768215447664,Positive
MMs02e12,0.6115550994873047,0.2510729432106018,Positive
MMs02e12,0.2804928123950958,0.44658711552619934,Negative
MMs02e12,0.9792662262916565,0.0007549590663984418,Positive
MMs02e12,0.0025357434060424566,0.9889523386955261,Negative
MMs02e12,0.04617027938365936,0.5853301286697388,Negative
MMs02e12,0.0008483095443807542,0.7812749743461609,Negative
MMs02e12,0.02797900140285492,0.08482839167118073,Negative
MMs02e12,0.004949895199388266,0.7289137840270996,Negative
MMs02e12,0.09544212371110916,0.6844351887702942,Negative
MMs02e12,0.8551994562149048,0.6532063484191895,Positive
MMs02e12,0.796170711517334,0.4206278324127197,Positive
MMs02e12,0.127677321434021,0.04995928704738617,Positive
MMs02e12,0.027976756915450096,0.9043284058570862,Negative
MMs02e12,0.004567798227071762,0.8970933556556702,Negative
MMs02e12,0.01859196461737156,0.9384104609489441,Negative
MMs02e12,0.07381445169448853,0.8023210167884827,Negative
MMs02e12,0.7840739488601685,0.33741602301597595,Positive
MMs02e12,0.49035921692848206,0.012681125663220882,Positive
MMs02e12,0.0075865513645112514,0.5235159397125244,Negative
MMs02e12,0.0031709098257124424,0.6946111917495728,Negative
MMs02e12,0.008202878758311272,0.9962598085403442,Negative
MMs02e12,0.855832576751709,0.009332491084933281,Positive
MMs02e12,0.0013734917156398296,0.9618226885795593,Negative
MMs02e12,0.042479224503040314,0.8529779314994812,Negative
MMs02e12,0.5902261137962341,0.2534317076206207,Positive
MMs02e12,0.007802750449627638,0.03307444602251053,Negative
MMs02e12,0.04194426164031029,0.019414255395531654,Positive
MMs02e12,0.0021316204220056534,0.9917278289794922,Negative
MMs02e12,0.6460670232772827,0.362283855676651,Positive
MMs02e12,0.5700908899307251,0.6009474992752075,Negative
MMs02e12,0.8619318604469299,0.9454623460769653,Negative
MMs02e12,0.012722241692245007,0.9933562278747559,Negative
MMs02e12,0.9979320764541626,0.0014370920835062861,Positive
MMs02e12,0.5305414199829102,0.16583141684532166,Positive
MMs02e12,0.0027671786956489086,0.9848121404647827,Negative
MMs02e12,0.14396445453166962,0.9375587105751038,Negative
MMs02e12,0.319988876581192,0.9447084665298462,Negative
MMs02e12,0.9195685982704163,0.011957853101193905,Positive
MMs02e12,0.8711031079292297,0.7032508254051208,Positive
MMs02e12,0.56019526720047,0.06319224089384079,Positive
MMs02e12,0.6997334957122803,0.03963427245616913,Positive
MMs02e12,0.5713141560554504,0.6471407413482666,Negative
MMs02e12,0.6933403015136719,0.24615497887134552,Positive
MMs02e12,0.021351492032408714,0.003908270504325628,Positive
MMs02e12,0.022648487240076065,0.44762545824050903,Negative
MMs02e12,0.0004215142107568681,0.8875986933708191,Negative
MMs02e12,0.9757029414176941,0.42809948325157166,Positive
MMs02e12,0.019782204180955887,0.8759211897850037,Negative
MMs02e12,0.0036167986690998077,0.9903794527053833,Negative
MMs02e12,0.005098323337733746,0.03481142967939377,Negative
MMs02e12,0.27691125869750977,0.3993721306324005,Negative
MMs02e12,0.0032965545542538166,0.09753899276256561,Negative
MMs02e12,0.4685223698616028,0.15764577686786652,Positive
MMs02e12,0.0015078915748745203,0.8658499717712402,Negative
MMs02e12,0.0033960924483835697,0.9308538436889648,Negative
MMs02e12,0.3087436258792877,0.6881521344184875,Negative
MMs02e12,0.9659309387207031,0.001542174955829978,Positive
MMs02e12,0.9991063475608826,0.0017737681046128273,Positive
MMs02e12,0.9828941226005554,0.0018384779104962945,Positive
MMs02e12,0.9533246755599976,0.001443743472918868,Positive
MMs02e12,0.19059427082538605,0.013651132583618164,Positive
MMs02e12,0.3527746796607971,0.3213728070259094,Positive
MMs02e12,0.33821505308151245,0.02011217176914215,Positive
MMs02e12,0.634658932685852,0.002783161820843816,Positive
MMs02e12,0.16959737241268158,0.0688924789428711,Positive
MMs02e12,0.0020925672724843025,0.9980687499046326,Negative
MMs02e12,0.6260855793952942,0.06569411605596542,Positive
MMs02e12,0.9441131949424744,0.003878565737977624,Positive
MMs02e12,0.9970571994781494,0.02877384051680565,Positive
MMs02e12,0.001426838687621057,0.9110730886459351,Negative
MMs02e12,0.23536427319049835,0.7846001982688904,Negative
MMs02e12,0.02199498936533928,0.06196576729416847,Negative
MMs02e12,0.9801725745201111,0.0012723567197099328,Positive
MMs02e12,0.9619576334953308,0.0047385296784341335,Positive
